qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,1.3026610142902726,36.683552301413435,0.7887277501953862,100,3.152536123773635,0.6220913851440628,4.0,4.0,0.8474638762263651,3.3779086148559374,4.225372491082302,835.2453708648682
4.0,1.3130485220352428,36.683552301413435,0.7948990085853351,100,3.2030136553308783,0.6318643556798322,4.0,4.0,0.7969863446691217,3.3681356443201675,4.16512198898929,848.701000213623
4.0,1.6290589445415153,45.19884024159083,0.8046200633061094,100,3.247573735159659,0.6474133579003246,4.0,4.0,0.752426264840341,3.3525866420996753,4.105012906940017,412.808895111084
4.0,1.6401449764897622,45.19884024159083,0.8142413560665969,100,3.291924749845222,0.6629888986165645,4.0,4.0,0.7080752501547778,3.3370111013834354,4.045086351538213,864.971399307251
4.0,1.5614512824289077,42.733814258349334,0.8227509363151465,100,3.3377481811127905,0.6769190178853394,4.0,4.0,0.6622518188872095,3.3230809821146607,3.9853328010018703,864.1388416290283
4.0,1.5720866184503837,42.733814258349334,0.8311977346161177,100,3.383371077928878,0.6908895897301317,4.0,4.0,0.6166289220711221,3.3091104102698683,3.9257393323409904,1049.6306419372559
4.0,1.5826047217548993,42.733814258349334,0.8395830300185532,100,3.4287956657473946,0.704899580992289,4.0,4.0,0.5712043342526054,3.295100419007711,3.8663047532603163,1273.7305164337158
4.0,1.593008412359801,42.733814258349334,0.847908055259456,100,3.4740241160674556,0.7189479878464887,4.0,4.0,0.5259758839325444,3.2810520121535114,3.8070278960860557,1249.8397827148438
4.0,1.6033004003775204,42.733814258349334,0.8561739986527608,100,3.5190585485527643,0.73303383459534,4.0,4.0,0.48094145144723566,3.26696616540466,3.7479076168518954,1206.9308757781982
4.0,1.517373050786112,40.17814757882394,0.8633446324731318,100,3.565700985522307,0.7453638773795879,4.0,4.0,0.43429901447769304,3.254636122620412,3.688935137098105,638.9522552490234
4.0,1.5272258202265678,40.17814757882394,0.8704852502469002,100,3.6121577102932907,0.7577444946334613,4.0,4.0,0.3878422897067093,3.242255505366539,3.6300977950732483,884.8776817321777
