x1,qe,vc,x2,vs,diff1,diff2
0.32,2.0,18.0,9.6,87.0,0.5391533983651351,-0.735929472294691
6.26,3.99,2.0,1.2,80.0,1.2141287504224039,-0.227126031810446
12.51,0.37,68.0,1.77,34.0,-1.5686992290408668,1.2770640610639483
5.63,1.79,45.0,0.44,71.0,-0.1048175870037511,0.48072919411916076
2.31,2.31,16.0,0.04,67.0,0.5609589400594177,0.1001131819842224
4.09,2.8000000000000003,41.0,0.91,84.0,0.3458497295422882,0.2634060240440813
8.19,2.31,39.0,1.09,41.0,0.023796898726839544,0.5486440088218689
4.41,1.6,97.0,11.69,4.0,-0.7184126691857662,0.3100000000000005
4.47,3.77,27.0,7.23,35.0,0.8056266973319328,0.08070057770171779
11.13,2.5500000000000003,45.0,11.63,64.0,-0.13847631940753047,0.249041100319646
2.85,3.35,93.0,12.99,91.0,0.060293188109508566,-0.9900000000000002
12.27,1.59,13.0,3.33,29.0,-0.2699999999999996,0.11577336729946408
11.540000000000001,3.21,14.0,12.02,6.0,0.4599999999999991,-0.019999999999999574
12.8,1.75,2.0,4.7700000000000005,59.0,-0.8000000000000007,-0.35135737939607736
0.43,2.11,5.0,10.11,46.0,0.6325703889886864,-0.4242452999328101
5.46,1.94,0.0,4.14,99.0,0.6062499999999993,-0.6055567779388005
4.41,1.97,32.0,0.1,53.0,0.19107264243065014,0.3402658125984065
5.47,2.5500000000000003,49.0,1.81,71.0,0.07804020722490801,0.4045602631807177
5.01,3.5300000000000002,39.0,7.18,19.0,0.5428879936734248,0.40182387176828893
2.34,2.83,48.0,5.08,57.0,0.4058082168054433,0.07943411031661451
6.84,2.06,43.0,12.96,8.0,-0.0576272081173812,-0.9600000000000009
12.58,2.5,57.0,1.48,4.0,-0.9348825187572185,1.2117842013754196
10.49,1.48,22.0,10.67,3.0,0.01698048529684293,0.4146364761804051
7.73,1.79,78.0,11.200000000000001,31.0,-0.7615495529815606,0.7999999999999989
9.290000000000001,2.0100000000000002,26.0,3.65,93.0,0.1310823351000412,-0.055676755177638704
7.8100000000000005,0.39,69.0,4.3100000000000005,52.0,-1.041632503015732,0.8022407257368434
4.29,2.14,63.0,6.6000000000000005,1.0,-0.1399999608363629,0.7991443979625883
5.03,3.43,4.0,9.61,69.0,1.0130685593719493,-0.598498708247643
6.21,3.02,15.0,4.95,92.0,0.7036089552297078,-0.3853972750015302
4.61,0.48,58.0,11.06,91.0,-0.6019484624852858,-0.1950111512044046
9.27,2.12,45.0,1.49,62.0,-0.18938999377698806,0.5920663502910093
4.44,0.62,67.0,7.32,33.0,-0.6546564967389905,0.5572750660213766
2.19,3.52,25.0,10.56,7.0,0.8475016004872753,0.18519269582095
7.63,0.01,81.0,6.88,70.0,-1.3313372538425892,0.7323757844010448
1.71,1.93,64.0,3.23,73.0,0.07427594612572408,0.11632360240235329
6.98,0.67,95.0,2.99,48.0,-1.2833227934302185,1.1931708314375875
9.96,2.47,57.0,11.66,1.0,-0.34261358491135496,0.33999999999999986
3.69,3.59,43.0,4.68,30.0,0.5854369407927398,0.3340285571283008
11.93,3.22,22.0,6.76,51.0,0.07000000000000028,0.0627953834153816
8.28,0.22,71.0,8.26,24.0,-1.1616290163638574,0.9990334689264682
10.44,1.08,96.0,8.81,55.0,-1.5272421361980832,1.3207736544608526
7.24,0.39,46.0,11.6,6.0,-0.6343497218293441,0.40000000000000036
10.77,0.61,82.0,8.13,88.0,-1.4332367490749363,0.8083970993883884
1.01,1.71,5.0,1.05,69.0,0.49935120332229843,-0.17548862758209083
5.63,1.99,77.0,9.31,58.0,-0.49413877045880206,0.5496195405487239
0.75,0.5700000000000001,22.0,8.91,6.0,0.05679123952224563,0.06570464595595027
6.87,1.24,33.0,9.4,53.0,-0.15011190302186872,0.028818418426354242
12.200000000000001,2.22,92.0,11.16,11.0,-1.261057133341879,0.8399999999999999
6.94,3.8200000000000003,18.0,11.85,90.0,0.8880616663635283,-0.6471533903098301
4.0600000000000005,1.43,58.0,9.03,18.0,-0.2710242906446694,0.5438506515321873
12.700000000000001,2.48,57.0,5.28,9.0,-1.059780056920646,1.1627543314934519
3.7600000000000002,0.03,64.0,10.57,36.0,-0.7267545587330861,0.3592684316550674
10.61,3.8200000000000003,66.0,4.2,11.0,-0.14522874892047177,1.2625426664501491
8.03,0.35000000000000003,64.0,11.77,54.0,-0.9880595528112845,0.23000000000000043
5.48,3.98,12.0,8.18,5.0,1.0599247817633959,0.14056587948600274
5.55,1.84,48.0,3.38,62.0,-0.1276305961161821,0.33677125866632496
4.36,0.41000000000000003,40.0,12.57,98.0,-0.3821592291462679,-1.0064518298106755
0.27,3.33,20.0,10.25,35.0,0.9348003652747758,-0.23522721290102666
