qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
3.92,3.988388487420811,4.057556401605647,6.0,-1.9424435983943527,1006,-1.94,98,0.98,1006,-1.94,0,False
3.92,3.9472601171243866,4.055826468631823,6.0,-1.9441735313681772,1006,-1.94,98,0.98,1006,-1.94,0,False
3.92,3.2788131265997587,4.096406929125141,6.0,-1.9035930708748587,1006,-1.94,98,0.98,1010,-1.9,0,False
4.0,3.494778857444566,4.128405210119948,6.0,-1.871594789880052,1010,-1.9,108,1.08,1013,-1.87,0,False
4.0,3.9829435579209314,4.129487469250546,6.0,-1.870512530749454,1013,-1.87,109,1.09,1013,-1.87,0,False
4.0,3.5878116386717798,4.155600329729061,6.0,-1.8443996702709393,1013,-1.87,109,1.09,1016,-1.84,0,False
3.76,3.592391943985167,4.166218323506095,6.0,-1.8337816764939054,1016,-1.84,94,0.94,1017,-1.83,0,False
2.92,0.9527224026022076,4.289602929706901,6.0,-1.7103970702930988,1017,-1.83,73,0.73,1029,-1.71,0,False
3.12,3.591217929487559,4.2597608349646485,6.0,-1.7402391650353515,1029,-1.71,78,0.78,1026,-1.74,0,False
1.48,1.485956249897297,4.259386532707374,6.0,-1.7406134672926257,1026,-1.74,37,0.37,1026,-1.74,0,False
4.0,4.1238462743205,4.2515276521419825,6.0,-1.7484723478580175,1026,-1.74,105,1.05,1025,-1.75,0,False
4.0,4.239944874493511,4.2362942110377855,6.0,-1.7637057889622145,1025,-1.75,100,1.0,1024,-1.76,0,False
4.0,4.4710501494029655,4.206359648708973,6.0,-1.7936403512910273,1024,-1.76,107,1.07,1021,-1.79,0,False
4.0,4.416087082304688,4.1799205216520825,6.0,-1.8200794783479175,1021,-1.79,106,1.06,1018,-1.82,0,False
3.4,4.225765725856717,4.127477277886519,6.0,-1.872522722113481,1018,-1.82,85,0.85,1013,-1.87,0,False
4.0,3.308622052562597,4.171229403874993,6.0,-1.8287705961250067,1013,-1.87,109,1.09,1017,-1.83,0,False
4.0,3.5254885013537414,4.201279160921456,6.0,-1.7987208390785439,1017,-1.83,102,1.02,1020,-1.8,0,False
3.48,3.5243102042206096,4.198473129740781,6.0,-1.8015268702592193,1020,-1.8,87,0.87,1020,-1.8,0,False
3.48,3.5231627830369723,4.195739749442172,6.0,-1.804260250557828,1020,-1.8,87,0.87,1020,-1.8,0,False
4.0,4.014331885951005,4.194830476673882,6.0,-1.8051695233261178,1020,-1.8,105,1.05,1019,-1.81,0,False
3.76,3.6088188671555326,4.204407226365183,6.0,-1.7955927736348167,1019,-1.81,94,0.94,1020,-1.8,0,False
4.0,3.739175590335423,4.2209366671169075,6.0,-1.7790633328830925,1020,-1.8,109,1.09,1022,-1.78,0,False
3.16,4.396209491080179,4.142381887724639,6.0,-1.857618112275361,1022,-1.78,79,0.79,1014,-1.86,0,False
3.96,4.106651375212546,4.13307242329829,6.0,-1.86692757670171,1014,-1.86,99,0.99,1013,-1.87,0,False
4.0,3.7875300988147913,4.1465432644018705,6.0,-1.8534567355981295,1013,-1.87,109,1.09,1015,-1.85,0,False
3.8,3.6293482297821287,4.157355901059719,6.0,-1.8426440989402808,1015,-1.85,95,0.95,1016,-1.84,0,False
3.76,3.632862617267062,4.165411311286285,6.0,-1.8345886887137146,1016,-1.84,94,0.94,1017,-1.83,0,False
4.0,3.2431557557319457,4.213288734626428,6.0,-1.7867112653735724,1017,-1.83,102,1.02,1021,-1.79,0,False
0.64,1.347570886390117,4.168841832284536,6.0,-1.831158167715464,1021,-1.79,16,0.16,1017,-1.83,0,False
4.0,4.239146654469235,4.1536543669738935,6.0,-1.8463456330261065,1017,-1.83,102,1.02,1015,-1.85,0,False
3.8,3.5926387851428614,4.166790734440373,6.0,-1.8332092655596268,1015,-1.85,95,0.95,1017,-1.83,0,False
3.28,3.584317099137221,4.147511925518341,6.0,-1.8524880744816592,1017,-1.83,82,0.82,1015,-1.85,0,False
3.8,3.590060310778614,4.1608117704513266,6.0,-1.8391882295486734,1015,-1.85,95,0.95,1016,-1.84,0,False
3.76,3.713755776350241,4.163742701318381,6.0,-1.8362572986816188,1016,-1.84,94,0.94,1016,-1.84,0,False
3.76,4.386412201369502,4.123934928132851,6.0,-1.8760650718671492,1016,-1.84,94,0.94,1012,-1.88,0,False
3.92,4.096531751933358,4.112728231773698,6.0,-1.8872717682263023,1012,-1.88,98,0.98,1011,-1.89,0,False
3.88,3.7751033753940115,4.119379089315974,6.0,-1.8806209106840264,1011,-1.89,97,0.97,1012,-1.88,0,False
0.56,3.4134963096039277,3.9386165106384956,6.0,-2.0613834893615044,1012,-1.88,14,0.14,994,-2.06,0,False
4.0,3.7002451109454193,3.9576278305320614,6.0,-2.0423721694679386,994,-2.06,101,1.01,996,-2.04,0,False
4.0,3.7088665897594746,3.9760917133559044,6.0,-2.0239082866440956,996,-2.04,100,1.0,998,-2.02,0,False
4.0,3.5617220063325106,4.003868878175362,6.0,-1.9961311218246376,998,-2.02,100,1.0,1000,-2.0,0,False
4.0,3.729755799130208,4.021006529635147,6.0,-1.9789934703648528,1000,-2.0,101,1.01,1002,-1.98,0,False
3.48,3.566890578481364,4.015499799086895,6.0,-1.9845002009131054,1002,-1.98,87,0.87,1002,-1.98,0,False
3.48,3.564510985334226,4.010143826048777,6.0,-1.9898561739512228,1002,-1.98,87,0.87,1001,-1.99,0,False
4.0,3.5764224109115834,4.036987748242155,6.0,-1.9630122517578448,1001,-1.99,103,1.03,1004,-1.96,0,False
3.8,3.738951294027336,4.0408590085202265,6.0,-1.9591409914797735,1004,-1.96,95,0.95,1004,-1.96,0,False
3.8,3.5841865297440654,4.054535515017401,6.0,-1.9454644849825993,1004,-1.96,95,0.95,1005,-1.95,0,False
3.92,3.593325006378744,4.075236874898848,6.0,-1.924763125101152,1005,-1.95,98,0.98,1008,-1.92,0,False
4.0,3.604361114767825,4.100307464799689,6.0,-1.8996925352003107,1008,-1.92,109,1.09,1010,-1.9,0,False
4.0,3.6150657193723776,4.124698723083326,6.0,-1.875301276916674,1010,-1.9,108,1.08,1012,-1.88,0,False
3.92,3.623294774359644,4.143498723792094,6.0,-1.856501276207906,1012,-1.88,98,0.98,1014,-1.86,0,False
3.96,3.632360044455511,4.164258137117016,6.0,-1.8357418628829842,1014,-1.86,99,0.99,1016,-1.84,0,False
3.96,3.6411598135760017,4.184459316733896,6.0,-1.8155406832661036,1016,-1.84,99,0.99,1018,-1.82,0,False
3.4,3.6346837666995517,4.169590066203428,6.0,-1.830409933796572,1018,-1.82,85,0.85,1017,-1.83,0,False
